Ep 166 | Steps: 300 | Reward: -2.03 | Loss: 0.0973 | Epsilon: 0.189 | Success: NO
Ep 167 | Steps: 300 | Reward: -138.40 | Loss: 0.0909 | Epsilon: 0.187 | Success: NO
Ep 168 | Steps: 300 | Reward: -17.72 | Loss: 0.0885 | Epsilon: 0.185 | Success: NO
Ep 169 | Steps: 300 | Reward: 5.00 | Loss: 0.1003 | Epsilon: 0.183 | Success: NO
Ep 170 | Steps: 300 | Reward: -26.50 | Loss: 0.0939 | Epsilon: 0.181 | Success: NO
Ep 171 | Steps: 300 | Reward: 6.77 | Loss: 0.0894 | Epsilon: 0.179 | Success: NO
Ep 172 | Steps: 300 | Reward: 59.72 | Loss: 0.0999 | Epsilon: 0.178 | Success: YES
Ep 173 | Steps: 300 | Reward: 3.65 | Loss: 0.0975 | Epsilon: 0.176 | Success: NO
Ep 174 | Steps: 300 | Reward: 17.42 | Loss: 0.0852 | Epsilon: 0.174 | Success: NO
Ep 175 | Steps: 300 | Reward: -51.58 | Loss: 0.0967 | Epsilon: 0.172 | Success: NO
Ep 176 | Steps: 300 | Reward: -2.62 | Loss: 0.0935 | Epsilon: 0.171 | Success: NO
Ep 177 | Steps: 300 | Reward: -77.85 | Loss: 0.0961 | Epsilon: 0.169 | Success: NO
Ep 178 | Steps: 300 | Reward: 1.67 | Loss: 0.0939 | Epsilon: 0.167 | Success: NO
Ep 179 | Steps: 300 | Reward: -1.51 | Loss: 0.0918 | Epsilon: 0.165 | Success: NO
Ep 180 | Steps: 300 | Reward: -9.51 | Loss: 0.0984 | Epsilon: 0.164 | Success: NO
Ep 181 | Steps: 300 | Reward: -59.16 | Loss: 0.0971 | Epsilon: 0.162 | Success: NO
Ep 182 | Steps: 300 | Reward: 0.70 | Loss: 0.1162 | Epsilon: 0.161 | Success: NO
Ep 183 | Steps: 300 | Reward: 3.63 | Loss: 0.0850 | Epsilon: 0.159 | Success: NO
Ep 184 | Steps: 300 | Reward: 2.08 | Loss: 0.0861 | Epsilon: 0.157 | Success: NO
Ep 185 | Steps: 300 | Reward: 12.61 | Loss: 0.1028 | Epsilon: 0.156 | Success: NO
Ep 186 | Steps: 300 | Reward: 2.43 | Loss: 0.0918 | Epsilon: 0.154 | Success: NO
Ep 187 | Steps: 300 | Reward: -29.81 | Loss: 0.0954 | Epsilon: 0.153 | Success: NO
Ep 188 | Steps: 300 | Reward: 20.71 | Loss: 0.1006 | Epsilon: 0.151 | Success: NO
Ep 189 | Steps: 300 | Reward: 185.23 | Loss: 0.1059 | Epsilon: 0.150 | Success: YES
Ep 190 | Steps: 300 | Reward: -3.65 | Loss: 0.1002 | Epsilon: 0.148 | Success: NO
Ep 191 | Steps: 300 | Reward: 88.45 | Loss: 0.1048 | Epsilon: 0.147 | Success: YES
Ep 192 | Steps: 300 | Reward: 341.70 | Loss: 0.0998 | Epsilon: 0.145 | Success: YES
Ep 193 | Steps: 300 | Reward: 6.79 | Loss: 0.1012 | Epsilon: 0.144 | Success: NO
Ep 194 | Steps: 54 | Reward: -65.53 | Loss: 0.1110 | Epsilon: 0.142 | Success: NO
Ep 195 | Steps: 300 | Reward: -27.35 | Loss: 0.1061 | Epsilon: 0.141 | Success: NO
Ep 196 | Steps: 300 | Reward: 98.71 | Loss: 0.1029 | Epsilon: 0.139 | Success: YES
